"","zipcode","year","state","county","city","appreciation","price","rent","revenue"
"801","80031","2022","CO","Adams County","Westminster",9.9,505926.4084,24712.8,0.147846629845148
"802","95123","2022","CA","Santa Clara County","San Jose",11.9,1208117.3838,34840.8,0.147838919518244
"803","33126","2022","FL","Miami-Dade County","Miami",7,239667.588,18628.8,0.1477276566909
"804","74037","2022","OK","Tulsa County","Jenks",7.7,257645.59425,18219,0.147713415663229
"805","27511","2022","NC","Wake County","Cary",10.3,385209.2934,17220,0.14770297133283
"806","92129","2022","CA","San Diego County","San Diego",11.6,1055055.24,33338.4,0.147598724631707
"807","64105","2022","MO","Jackson County","Kansas City",5.8,174427.3816,15624,0.147573092576882
"808","77090","2022","TX","Harris County","Houston",9.6,224922.4352,11592,0.14753776674031
"809","32708","2022","FL","Seminole County","Winter Springs",9.3,345523.3134,18813.6,0.147449582040851
"810","91326","2022","CA","Los Angeles County","Los Angeles",10.8,1031595.644,40620,0.147375893293322
"811","48187","2022","MI","Wayne County","Canton",8.8,336302.3232,19944,0.147303783007586
"812","94565","2022","CA","Contra Costa County","Pittsburg",10.7,726246.6858,29260.8,0.147290442038669
"813","02840","2022","RI","Newport County","Newport",9.9,700136.0835,33792,0.147264902775862
"814","33131","2022","FL","Miami-Dade County","Miami",7.1,403689.08475,30771,0.147224503367625
"815","94550","2022","CA","Alameda County","Livermore",11.4,1107324.4664,36760.8,0.147197857642857
"816","48322","2022","MI","Oakland County","West Bloomfield",8.4,362147.056,22884,0.147189799891677
"817","92126","2022","CA","San Diego County","San Diego",11.4,838991.0532,27813.6,0.147151247434542
"818","78705","2022","TX","Travis County","Austin",10.1,414671.3916,19111.2,0.14708757774743
"819","01852","2022","MA","Middlesex County","Lowell",9.4,386627.0392,20517.6,0.147068197305741
"820","23323","2022","VA","Chesapeake City","Chesapeake",7.7,334000.9632,23395.2,0.147045306983115
"821","73003","2022","OK","Oklahoma County","Edmond",7.2,202445.6992,15172.8,0.1469475047381
"822","85035","2022","AZ","Maricopa County","Phoenix",9.8,253484.0604,12386.4,0.146864610975752
"823","45011","2022","OH","Butler County","Hamilton",8.5,276201.94,17064,0.146780883943103
"824","01851","2022","MA","Middlesex County","Lowell",10.2,419279.7032,18765.6,0.146756757498105
"825","21060","2022","MD","Anne Arundel County","Glen Burnie",8.3,354226.1238,22581.6,0.14674910963018
"826","78148","2022","TX","Bexar County","Universal City",9.7,238758.3202,11865.6,0.146697116272474
"827","76065","2022","TX","Ellis County","Midlothian",9.4,378840.3848,19958.4,0.146682873317576
"828","98327","2022","WA","Pierce County","Dupont",9.2,489865.5216,26764.8,0.14663703571662
"829","33160","2022","FL","Miami-Dade County","Sunny Isles Beach",7.6,405963.1792,28648.8,0.146569946901234
"830","63117","2022","MO","Saint Louis County","Richmond Heights",9.2,336492.156,18255,0.14625089314712
"831","20770","2022","MD","Prince Georges County","Greenbelt",6.5,254822.124,20695.2,0.14621429833149
"832","97123","2022","OR","Washington County","Hillsboro",9.5,483117.285,24739.2,0.14620744127381
"833","95841","2022","CA","Sacramento County","Sacramento",10.4,414589.536,17481.6,0.146166042511985
"834","92120","2022","CA","San Diego County","San Diego",11.3,890024.0286,29443.2,0.14608135404649
"835","80905","2022","CO","El Paso County","Colorado Springs",10,371569.44,17116.8,0.146066221161783
"836","33139","2022","FL","Miami-Dade County","Miami Beach",7.1,349608.4578,26222.4,0.146005050406993
"837","33180","2022","FL","Miami-Dade County","Aventura",7.2,384066.7264,28413.6,0.145980894586551
"838","23228","2022","VA","Henrico County","Henrico",8,257548.896,16982.4,0.145938547063312
"839","32832","2022","FL","Orange County","Orlando",9.2,407854.7928,21955.2,0.145830923131425
"840","92054","2022","CA","San Diego County","Oceanside",11.6,907918.6752,27048,0.145791214498415
"841","32746","2022","FL","Seminole County","Lake Mary",9.3,387346.7398,20436,0.145758931211224
"842","32034","2022","FL","Nassau County","Fernandina Beach",9.8,462967.0884,22104,0.145744214553978
"843","27617","2022","NC","Wake County","Raleigh",10.1,379286.5728,16963.2,0.145723966563786
"844","03820","2022","NH","Strafford County","Dover",9.6,391846.304,19468.8,0.145684786614703
"845","80904","2022","CO","El Paso County","Colorado Springs",10.5,428083.409,17378.4,0.145595826968851
"846","75067","2022","TX","Denton County","Lewisville",9.8,321889.4604,15288,0.145494565311341
"847","33019","2022","FL","Broward County","Hollywood",7.9,443995.0125,29523,0.145493990177423
"848","75231","2022","TX","Dallas County","Dallas",8.7,254241.691,14868,0.145479787250943
"849","33606","2022","FL","Hillsborough County","Tampa",11.2,738706.2704,24717.6,0.145460660874878
"850","76112","2022","TX","Tarrant County","Fort Worth",9.6,216566.0928,10699.2,0.145403855708293
"851","93021","2022","CA","Ventura County","Moorpark",10,824206.46,37348.8,0.145314859580208
"852","94551","2022","CA","Alameda County","Livermore",10.8,952415.5264,35505.6,0.145279526651782
"853","98374","2022","WA","Pierce County","South Hill",9.9,507848.7792,23491.2,0.145256289198932
"854","73071","2022","OK","Cleveland County","Norman",7.3,174762.9436,12619.2,0.145207527179692
"855","77584","2022","TX","Brazoria County","Pearland",9.1,314903.6216,17006.4,0.145005094998882
"856","33137","2022","FL","Miami-Dade County","Miami",8,459456.624,29865.6,0.145002001146467
"857","63368","2022","MO","Saint Charles County","O Fallon",8.7,336687.9235,19527,0.144997328199388
"858","06905","2022","CT","Fairfield County","Stamford",10.2,622004.064,26731.2,0.144975924993313
"859","01604","2022","MA","Worcester County","Worcester",8.7,329600.7922,19082.4,0.144895491915022
"860","80020","2022","CO","Broomfield County","Broomfield",10.3,535098.1694,22401.6,0.144864467645477
"861","94568","2022","CA","Alameda County","Dublin",11.7,1190985.8354,33004.8,0.144712168372611
"862","91730","2022","CA","San Bernardino County","Rancho Cucamonga",8.7,524394.6706,30254.4,0.144693950179516
"863","80134","2022","CO","Douglas County","Parker",10.7,660722.0274,24825.6,0.144573440827591
"864","76039","2022","TX","Tarrant County","Euless",8.7,308049.4954,17731.2,0.14455958138148
"865","92673","2022","CA","Orange County","San Clemente",11.3,1252055.3262,39456,0.144512984429969
"866","06492","2022","CT","New Haven County","Wallingford",9.8,324976.3776,15115.2,0.144511688362176
"867","33067","2022","FL","Broward County","Coral Springs",9.7,570070.311,27033.6,0.144421518851909
"868","73106","2022","OK","Oklahoma County","Oklahoma City",7,197453.306,14628,0.144083337961432
"869","91344","2022","CA","Los Angeles County","Los Angeles",10.3,863700.841,35472,0.144069775917933
"870","64055","2022","MO","Jackson County","Independence",6.4,183165.472,14656.8,0.14401944820692
"871","91945","2022","CA","San Diego County","Lemon Grove",10.4,649685.0112,25968,0.143970138686186
"872","60615","2022","IL","Cook County","Chicago",8,305917.128,19557.6,0.143931039519958
"873","23504","2022","VA","Norfolk City","Norfolk",7.2,218544.9952,15693.6,0.143809468734977
"874","80017","2022","CO","Arapahoe County","Aurora",10.2,419558.7296,17522.4,0.143763878960892
